baseER baseSTAS endsuc endsuc10 endsuc90 freqsuc freq10 freq50 freq90 trajmean traj10 traj50 traj90 trajprop trajpop10 trajpop90
0.068 0.003 0.01 0.01 0.02 0.18 0.1 0.2 0.2 -60 -68 -60 -51 0 0 0
0.068 0.041 1 1 1 1 1 1 1 -13 -30 -16 3 0.12 0.11 0.14
0.068 0.001 0 0 0 0.12 0.1 0.1 0.2 -68 -74 -68 -61 0 0 0
0.068 0.002 0 0 0 0.15 0.1 0.1 0.2 -64 -71 -64 -56 0 0 0
0.068 0.004 0.06 0.05 0.07 0.22 0.1 0.2 0.3 -56 -65 -56 -46 0 0 0
0.068 0.005 0.13 0.12 0.14 0.27 0.1 0.2 0.5 -52 -63 -53 -42 0 0 0
0.068 0.006 0.23 0.21 0.25 0.35 0.2 0.3 0.7 -49 -61 -50 -38 0 0 0
0.068 0.007 0.38 0.35 0.4 0.45 0.2 0.4 0.8 -46 -58 -47 -33 0 0 0.01
0.068 0.008 0.53 0.51 0.54 0.53 0.2 0.5 1 -44 -56 -46 -31 0 0 0
0.068 0.009 0.62 0.6 0.64 0.62 0.2 0.6 1 -41 -54 -42 -27 0.01 0 0.01
0.068 0.01 0.68 0.67 0.7 0.67 0.3 0.7 1 -40 -53 -41 -25 0.01 0 0.01
0.068 0.011 0.78 0.77 0.8 0.74 0.4 0.8 1 -37 -50 -39 -23 0.01 0 0.01
0.068 0.012 0.84 0.83 0.86 0.8 0.5 0.8 1 -36 -49 -38 -21 0.02 0.01 0.02
0.068 0.013 0.86 0.85 0.87 0.83 0.6 0.9 1 -34 -49 -35 -18 0.02 0.01 0.02
0.068 0.014 0.91 0.9 0.92 0.87 0.6 0.9 1 -32 -47 -34 -17 0.02 0.01 0.02
0.068 0.015 0.93 0.92 0.94 0.89 0.7 1 1 -31 -46 -33 -16 0.02 0.01 0.03
0.068 0.016 0.94 0.93 0.95 0.91 0.7 1 1 -30 -45 -32 -15 0.03 0.02 0.03
0.068 0.017 0.96 0.95 0.97 0.93 0.7 1 1 -28 -44 -30 -12 0.02 0.02 0.03
0.068 0.018 0.97 0.96 0.98 0.94 0.7 1 1 -27 -43 -29 -12 0.04 0.03 0.05
0.068 0.019 0.97 0.96 0.98 0.94 0.8 1 1 -26 -43 -28 -10 0.04 0.03 0.05
0.068 0.02 0.97 0.96 0.98 0.95 0.8 1 1 -26 -42 -28 -9 0.04 0.03 0.05
0.068 0.021 0.98 0.98 0.99 0.97 0.89 1 1 -25 -41 -27 -8 0.06 0.05 0.07
0.068 0.022 0.98 0.98 0.99 0.97 0.9 1 1 -23 -40 -26 -4 0.06 0.05 0.07
0.068 0.023 0.99 0.98 0.99 0.97 0.9 1 1 -23 -40 -26 -6 0.06 0.05 0.07
0.068 0.024 0.99 0.98 0.99 0.98 0.9 1 1 -22 -39 -24 -6 0.06 0.05 0.07
0.068 0.025 0.99 0.99 1 0.98 0.9 1 1 -21 -38 -24 -3 0.07 0.06 0.08
0.068 0.026 0.99 0.99 1 0.98 0.9 1 1 -20 -38 -24 -3 0.09 0.07 0.1
0.068 0.027 1 1 1 0.98 1 1 1 -19 -37 -22 -2 0.09 0.08 0.1
0.068 0.028 1 0.99 1 0.98 1 1 1 -19 -36 -22 -1 0.09 0.07 0.1
0.068 0.029 1 0.99 1 0.99 1 1 1 -18 -36 -21 -1 0.1 0.08 0.11
0.068 0.03 1 1 1 0.99 1 1 1 -18 -35 -20 0 0.1 0.09 0.11
0.068 0.031 0.99 0.99 1 0.99 1 1 1 -17 -35 -20 0 0.1 0.09 0.12
0.068 0.032 1 0.99 1 0.99 1 1 1 -17 -35 -19 1 0.11 0.1 0.12
0.068 0.033 1 1 1 0.99 1 1 1 -16 -34 -19 1 0.1 0.09 0.12
0.068 0.034 1 1 1 0.99 1 1 1 -17 -35 -19 1 0.11 0.09 0.12
0.068 0.035 1 1 1 1 1 1 1 -15 -33 -18 2 0.12 0.11 0.14
0.068 0.036 1 1 1 0.99 1 1 1 -15 -33 -18 2 0.12 0.11 0.14
0.068 0.037 1 1 1 1 1 1 1 -14 -34 -18 2 0.12 0.1 0.13
0.068 0.038 1 1 1 1 1 1 1 -15 -32 -18 3 0.13 0.11 0.14
0.068 0.039 1 1 1 1 1 1 1 -13 -32 -16 4 0.15 0.13 0.16
0.068 0.04 1 1 1 1 1 1 1 -13 -31 -16 4 0.14 0.12 0.15
0.125 0.003 0 0 0.01 0.15 0.1 0.1 0.2 -63 -71 -64 -55 0 0 0
0.125 0.041 1 1 1 0.99 1 1 1 -17 -34 -20 1 0.1 0.09 0.12
0.125 0.001 0 0 0 0.11 0.1 0.1 0.2 -71 -77 -71 -65 0 0 0
0.125 0.002 0 0 0 0.13 0.1 0.1 0.2 -67 -74 -67 -60 0 0 0
0.125 0.004 0.02 0.02 0.03 0.18 0.1 0.2 0.2 -59 -68 -60 -50 0 0 0
0.125 0.005 0.06 0.05 0.07 0.21 0.1 0.2 0.3 -56 -65 -57 -46 0 0 0
0.125 0.006 0.12 0.1 0.13 0.26 0.1 0.2 0.5 -53 -63 -54 -41 0 0 0
0.125 0.007 0.21 0.19 0.23 0.32 0.2 0.2 0.61 -50 -60 -52 -40 0 0 0
0.125 0.008 0.34 0.32 0.36 0.4 0.2 0.3 0.8 -47 -59 -48 -35 0 0 0
0.125 0.009 0.42 0.4 0.44 0.47 0.2 0.4 0.9 -45 -57 -46 -33 0 0 0.01
0.125 0.01 0.53 0.51 0.55 0.54 0.2 0.5 0.9 -43 -56 -44 -30 0 0 0.01
0.125 0.011 0.62 0.6 0.64 0.61 0.3 0.6 1 -41 -54 -43 -28 0 0 0
0.125 0.012 0.72 0.71 0.74 0.67 0.3 0.7 1 -40 -53 -41 -27 0.01 0 0.01
0.125 0.013 0.76 0.75 0.78 0.72 0.4 0.7 1 -38 -52 -40 -22 0.01 0.01 0.02
0.125 0.014 0.81 0.79 0.82 0.77 0.5 0.8 1 -37 -50 -38 -22 0.01 0.01 0.02
0.125 0.015 0.84 0.82 0.85 0.8 0.5 0.8 1 -35 -48 -36 -20 0.02 0.01 0.02
0.125 0.016 0.88 0.87 0.89 0.83 0.5 0.9 1 -34 -48 -36 -20 0.01 0.01 0.02
0.125 0.017 0.91 0.9 0.92 0.86 0.6 0.9 1 -32 -47 -34 -17 0.02 0.01 0.03
0.125 0.018 0.92 0.91 0.93 0.88 0.6 1 1 -32 -46 -34 -17 0.02 0.01 0.02
0.125 0.019 0.93 0.92 0.94 0.9 0.7 1 1 -31 -46 -32 -16 0.03 0.02 0.03
0.125 0.02 0.96 0.95 0.96 0.91 0.7 1 1 -29 -44 -31 -14 0.02 0.02 0.03
0.125 0.021 0.96 0.96 0.97 0.93 0.7 1 1 -28 -44 -30 -12 0.03 0.02 0.03
0.125 0.022 0.97 0.96 0.98 0.93 0.8 1 1 -27 -43 -29 -11 0.03 0.03 0.04
0.125 0.023 0.97 0.96 0.97 0.94 0.8 1 1 -26 -42 -28 -9 0.04 0.04 0.05
0.125 0.024 0.98 0.97 0.98 0.95 0.8 1 1 -27 -42 -28 -11 0.04 0.03 0.05
0.125 0.025 0.97 0.96 0.98 0.96 0.8 1 1 -26 -41 -28 -9 0.04 0.03 0.05
0.125 0.026 0.98 0.97 0.98 0.96 0.8 1 1 -25 -41 -27 -8 0.04 0.03 0.04
0.125 0.027 0.99 0.98 0.99 0.97 0.9 1 1 -24 -40 -26 -7 0.05 0.04 0.06
0.125 0.028 0.99 0.98 0.99 0.97 0.9 1 1 -23 -38 -25 -8 0.04 0.04 0.05
0.125 0.029 0.99 0.98 0.99 0.97 0.9 1 1 -23 -39 -25 -6 0.05 0.04 0.06
0.125 0.03 0.99 0.98 0.99 0.98 0.9 1 1 -22 -38 -24 -5 0.07 0.06 0.08
0.125 0.031 0.99 0.98 0.99 0.98 0.9 1 1 -21 -37 -24 -4 0.07 0.06 0.08
